"","CPU","MCS","SNR","bsr","buff_state1","buff_state2","dec_error","net_load","throughput","txgain","what","SNR_group"
"14344",0.5,2,19.6707792207792,3412.16705229061,NA,NA,1,"Load = 5%",1.05924998456896,65,"i7-8650U @ 1.90GHz","High SNR"
"14345",0.54,10,14.3713043478261,139657.757475083,NA,NA,0.0424726661059714,"Load = 100%",0.186606448420128,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14346",0.7,4,5.8952380952381,147172.105395232,NA,NA,0.954066265060241,"Load = 70%",3.0599274152428,45,"i7-8650U @ 1.90GHz","Low SNR"
"14347",0.58,14,22.1184529356943,2050.09217877095,NA,NA,1,"Load = 10%",2.54562772414579,60,"i7-8650U @ 1.90GHz","High SNR"
"14348",0.7,4,25.7657085728568,147178.362818591,NA,NA,1,"Load = 70%",3.22074925476166,75,"i7-8650U @ 1.90GHz","High SNR"
"14349",0.62,12,5.7875,27069.7215189873,NA,NA,0.00047192071731949,"Load = 5%",0.00119079675672441,45,"i7-8650U @ 1.90GHz","Low SNR"
"14350",0.52,18,18.5185483870968,22152.748116254,NA,NA,0.123196448390677,"Load = 100%",0.472557432650593,65,"i7-8650U @ 1.90GHz","High SNR"
"14351",0.6,12,5.793,140036.921357972,NA,NA,0.000433463372345037,"Load = 10%",0.00106662021419503,45,"i7-8650U @ 1.90GHz","Low SNR"
"14352",0.46,4,14.2818181818182,146153.736668045,NA,NA,0.0465116279069767,"Load = 100%",0.0881535317681025,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14353",0.6,10,10.4170542635659,2677.8777258567,NA,NA,1,"Load = 10%",2.34784893428568,50,"i7-8650U @ 1.90GHz","Low SNR"
"14354",0.68,8,21.2675866298681,8326.91830161054,NA,NA,0.953161592505855,"Load = 30%",4.90109978020396,70,"i7-8650U @ 1.90GHz","High SNR"
"14355",0.7,4,21.112275,147193.107723069,NA,NA,1,"Load = 70%",3.22076698713838,70,"i7-8650U @ 1.90GHz","High SNR"
"14356",0.58,18,21.6275862068966,126656.826433121,NA,NA,0.0207778369738945,"Load = 100%",0.159150899280261,75,"i7-8650U @ 1.90GHz","High SNR"
"14357",0.6,6,21.0390392781316,145531.489878543,NA,NA,0.95320010118897,"Load = 70%",4.46764402428198,70,"i7-8650U @ 1.90GHz","High SNR"
"14358",0.46,12,27.6697841726619,18174.9077380952,NA,NA,0.130869130869131,"Load = 50%",0.274088760614046,80,"i7-8650U @ 1.90GHz","High SNR"
"14359",0.62,14,17.6819182389937,1116.17425431711,NA,NA,1,"Load = 5%",1.37227614026481,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14360",0.62,18,5.925,14593,NA,NA,0,"Load = 70%",0,50,"i7-8650U @ 1.90GHz","Low SNR"
"14361",0.66,0,5.89108701401746,149832.476861167,NA,NA,0.950955734406439,"Load = 70%",1.1795318664101,45,"i7-8650U @ 1.90GHz","Low SNR"
"14362",0.64,8,17.5667493796526,140137.1163236,NA,NA,0.184146930884485,"Load = 100%",0.551675971383889,80,"i7-8650U @ 1.90GHz","Medium SNR"
"14363",0.52,12,21.3699266503668,4025.32221791392,NA,NA,0.951086956521739,"Load = 30%",5.19965497305945,70,"i7-8650U @ 1.90GHz","High SNR"
"14364",0.44,0,17.0361904761905,122398.29773226,NA,NA,0.0624082232011747,"Load = 50%",0.0252896501540298,70,"i7-8650U @ 1.90GHz","Medium SNR"
"14365",0.62,0,9.88187565858799,149855.041729512,NA,NA,0.953733970329394,"Load = 70%",1.18334999453792,50,"i7-8650U @ 1.90GHz","Low SNR"
"14366",0.42,10,21.5631512071156,1600.34561626429,NA,NA,1,"Load = 5%",1.39816033375803,70,"i7-8650U @ 1.90GHz","High SNR"
"14367",0.66,6,15.7664177113897,118263.702716298,NA,NA,0.942655935613682,"Load = 30%",4.44485085769667,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14368",0.52,10,18.4390804597701,140659.463900415,NA,NA,0.0341382181515404,"Load = 90%",0.160372345298957,70,"i7-8650U @ 1.90GHz","High SNR"
"14369",0.68,14,11.946,137941.910961467,NA,NA,0.012781954887218,"Load = 100%",0.0967163561293961,55,"i7-8650U @ 1.90GHz","Low SNR"
"14370",0.64,8,21.2783289817232,144130.729886507,NA,NA,0.963168516649849,"Load = 50%",5.88501058718381,70,"i7-8650U @ 1.90GHz","High SNR"
"14371",0.56,8,13.5508771929825,143352.632049519,NA,NA,0.0221147201105736,"Load = 100%",0.0988681194263125,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14372",0.6,12,6.02978723404255,7193.27042030135,NA,NA,0.00246305418719212,"Load = 70%",0.00194395181853279,45,"i7-8650U @ 1.90GHz","Low SNR"
"14373",0.6,16,26.2559536354057,2257.09329140461,NA,NA,1,"Load = 10%",2.779685173867,75,"i7-8650U @ 1.90GHz","High SNR"
"14374",0.48,14,11.2850760456274,2088.71062618596,NA,NA,1,"Load = 10%",2.49498542358162,50,"i7-8650U @ 1.90GHz","Low SNR"
"14375",0.66,8,11.9219735503561,1531.91556459817,NA,NA,1,"Load = 5%",1.36032153847269,50,"i7-8650U @ 1.90GHz","Low SNR"
"14376",0.4,16,8.9,36223,NA,NA,0,"Load = 70%",0,70,"i7-8650U @ 1.90GHz","Low SNR"
"14377",0.7,8,15.7412133891213,144050.299220518,NA,NA,0.960523007291929,"Load = 90%",5.88941833794772,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14378",0.66,18,21.406855500821,9660.23985239852,NA,NA,1,"Load = 50%",9.21916832284669,60,"i7-8650U @ 1.90GHz","High SNR"
"14379",0.56,12,30.2649056603774,1631.76352201258,NA,NA,1,"Load = 5%",1.55447303804204,80,"i7-8650U @ 1.90GHz","High SNR"
"14380",0.6,6,10.3841827768014,2420.1520979021,NA,NA,1,"Load = 5%",1.26841320911432,50,"i7-8650U @ 1.90GHz","Low SNR"
"14381",0.6,18,21.4096119929453,6413.04605809129,NA,NA,0.940174491067719,"Load = 50%",8.42576501671748,60,"i7-8650U @ 1.90GHz","High SNR"
"14382",0.44,18,9.88939393939394,33196.2290351668,NA,NA,0.00454132606721163,"Load = 70%",0.00545758701197589,50,"i7-8650U @ 1.90GHz","Low SNR"
"14383",0.68,14,11.1222614840989,4931.53515760305,NA,NA,0.589198606271777,"Load = 50%",4.41183047037892,50,"i7-8650U @ 1.90GHz","Low SNR"
