"device","cpu","mcs","txpower","mean_load","mean_throughput","mean_goodput","mean_snr","mean_q7","mean_q11","mean_q25","mean_bler","mean_bsr","mean_turbo_its","mean_dectime","mean_overflows","mean_underflows","mean_lates"
"I7-5600U @ 2.60GHz",0.1,0,4,11.5,0.533076037615403,0.466497285869201,15.5715130102041,1,1,1,0.6797335,114811.883928571,4.21682397959184,2945.85782795663,0.303571428571429,0.332908163265306,16.9859693877551
"I7-5600U @ 2.60GHz",0.1,0,4,17.25,0.31461867322301,0.310327152396775,15.9803347123719,1,1,1,0.691721,115762.29787234,4.44721434200158,3496.17304188948,0.299842395587076,0.3849487785658,18.4393223010244
"I7-5600U @ 2.60GHz",0.1,0,4,23,0.435227082270443,0.427466909257087,13.8136989888777,1,1,1,0.760621,132689.316481294,4.8511678463094,4468.2084578185,0.338220424671385,0.461577350859454,21.3892821031345
"I7-5600U @ 2.60GHz",0.1,0,4,28.75,0.457648213615059,0.372534295579295,13.1534364035088,1,1,1,0.73415,125600.589816934,4.93573989321129,6704.51343965046,0.338482074752098,0.401983218916857,19.0648360030511
"I7-5600U @ 2.60GHz",0.1,0,14,2.3,0.296597641782277,0.291634023377635,21.0650757878788,1,1,1,0.70575,110135.939393939,4.44475108225108,1951.22650669481,0.303030303030303,0.452813852813853,19.5235930735931
"I7-5600U @ 2.60GHz",0.1,0,14,5.75,0.580482213111028,0.553072632341683,21.8928653846154,1,1,1,0.6857065,103747.871923077,4.19949615384615,2710.88200195577,0.313461538461538,0.352692307692308,18.0015384615385
"I7-5600U @ 2.60GHz",0.1,0,14,11.5,0.451625898392638,0.404257720571615,20.0792655141844,1,1,1,0.733406,119235.076462766,4.66296985815603,1758.9974287316,0.326462765957447,0.379210992907801,20.873670212766
"I7-5600U @ 2.60GHz",0.1,0,14,17.25,0.510346514390384,0.459261743142004,21.2050887755102,1,1,1,0.696036,114386.347124304,4.41031354359926,3662.2722752167,0.335992578849722,0.523191094619666,19.9875695732839
"I7-5600U @ 2.60GHz",0.1,0,14,23,0.572884084640874,0.527556877397739,21.0124841640502,1,1,1,0.696941,126765.003924647,4.29345172684458,3047.17484357398,0.306318681318681,0.346546310832025,16.8186813186813
"I7-5600U @ 2.60GHz",0.1,0,14,28.75,0.514849556187726,0.49481868523471,20.8120283401733,1,1,1,0.7191205,128561.560191518,4.36149110807114,1613.95215534519,0.317829457364341,0.374145006839945,18.0640674874601
"I7-5600U @ 2.60GHz",0.1,2,-16,2.3,0.23091330951876,0.226691616575225,2.77251387029147,1,1,1,0.622082333333333,102186.814706612,3.60011395144384,1587.21144878153,0.289441175807579,0.201269132796826,16.3983048172945
"I7-5600U @ 2.60GHz",0.1,2,-16,5.75,0.167662451394054,0.166539911646109,2.28658947748158,1,1,1,0.751788,143293.871686793,5.3508553580922,1227.22152526378,0.312827523353839,0.244645705172021,16.9180337206653
"I7-5600U @ 2.60GHz",0.1,2,-16,11.5,0.201845284960327,0.2006632570695,2.12563938473167,1,1,1,0.711860333333333,118186.794210128,4.43701889644747,865.951030341663,0.305880574452003,0.244656084656085,16.357037037037
"I7-5600U @ 2.60GHz",0.1,2,-16,17.25,0.211396126548974,0.210292380844311,2.13663685550082,1,1,1,0.593577,99761.4330377668,3.08917036124795,935.414587288949,0.28123973727422,0.216412151067323,15.1691133004926
"I7-5600U @ 2.60GHz",0.1,2,-16,23,0.20934677380371,0.208126431328774,1.84803118779739,1,1,1,0.607713333333333,91703.526208681,2.9487559234817,915.469925222616,0.277570233838222,0.235192507098487,15.3625025438265
"I7-5600U @ 2.60GHz",0.1,2,-16,28.75,0.235548645086408,0.231510954194551,2.72310490511994,1,1,1,0.631648,96106.4425349087,3.62940923737916,1086.70825832814,0.283208020050125,0.242391693519513,15.5725026852846
"I7-5600U @ 2.60GHz",0.1,2,-15,2.3,0.273260215764042,0.271709948080157,3.78737037037037,1,1,1,0.67684,135272.481481481,4.59555555555556,1808.38208911111,0.314814814814815,0.0555555555555556,17.8148148148148
"I7-5600U @ 2.60GHz",0.1,2,-15,5.75,0.290779449889494,0.289041617378861,3.7729347826087,1,1,1,0.72582,146020.739130435,4.62956521739131,2117.19930367391,0.326086956521739,0.217391304347826,17.2826086956522
"I7-5600U @ 2.60GHz",0.1,2,-15,11.5,0.298785013217255,0.297728924012956,3.89264444444444,1,1,1,0.719688,149011.822222222,4.396,2149.60373264444,0.311111111111111,0.0888888888888889,17.4222222222222
"I7-5600U @ 2.60GHz",0.1,2,-15,17.25,0.277765367003944,0.276060178192002,3.8111320754717,1,1,1,0.6786,143243.641509434,4.52584905660377,3427.04112616981,0.320754716981132,0.132075471698113,17.5094339622642
"I7-5600U @ 2.60GHz",0.1,2,-15,23,0.308746474206191,0.306961262151187,3.95627027027027,1,1,1,0.76686,148842.378378378,4.33621621621622,681.675675675676,0.324324324324324,0.135135135135135,17.7027027027027
"I7-5600U @ 2.60GHz",0.1,2,-15,28.75,0.301157353169059,0.29995539823619,3.17251111111111,1,1,1,0.68335,116541.177777778,3.45933333333333,1351.40781248889,0.288888888888889,0.177777777777778,15.2
"I7-5600U @ 2.60GHz",0.1,2,-14,2.3,0.285511875253725,0.283959706506713,4.35660975609756,1,1,1,0.74458,149518.341463415,4.39756097560976,1571.95645960976,0.317073170731707,0.195121951219512,16.7073170731707
"I7-5600U @ 2.60GHz",0.1,2,-14,5.75,0.279911781607553,0.277924209399676,4.0774693877551,1,1,1,0.71164,141084.367346939,4.68224489795918,408.979591836735,0.326530612244898,0.0612244897959184,18.4897959183673
"I7-5600U @ 2.60GHz",0.1,2,-14,17.25,0.19501731903135,0.19405626896207,1.97616393442623,1,1,1,0.529793,70660.6557377049,2.57016393442623,1121.07252177049,0.262295081967213,0.262295081967213,15.9016393442623
"I7-5600U @ 2.60GHz",0.1,2,-14,23,0.270166929699629,0.2686098823643,4.13929411764706,1,1,1,0.705183,142849.803921569,4.7821568627451,1150.09803921569,0.333333333333333,0.0980392156862745,18.3921568627451
"I7-5600U @ 2.60GHz",0.1,2,-14,28.75,0.287993485078482,0.28636180730419,4.16948717948718,1,1,1,0.769597,148951.897435897,4.67615384615385,452.564102564103,0.333333333333333,0.102564102564103,18.2051282051282
"I7-5600U @ 2.60GHz",0.1,2,-13,2.3,0.310056935150464,0.308911434972481,4.67363636363636,1,1,1,0.71282,149377.454545455,4.12386363636364,1488.65083452273,0.295454545454545,0.113636363636364,17.3181818181818
"I7-5600U @ 2.60GHz",0.1,2,-13,5.75,0.28823407786897,0.286599507216578,4.36825,1,1,1,0.733657,146283.886363636,4.5525,2908.38867186364,0.318181818181818,0.113636363636364,17.7727272727273
